datetime,open,high,low,close
2014-09-02 11:00,1922,1937,1914,1937
2014-09-02 12:00,1936,1952,1932,1939
2014-09-02 12:30,1938,1945,1936,1945
2014-09-02 16:00,1944,1944,1930,1934
2014-09-02 17:00,1935,1945,1927,1943
2014-09-02 18:00,1943,1963,1943,1952
2014-09-03 11:00,1945,1970,1942,1969
2014-09-03 12:00,1969,1984,1962,1981
2014-09-03 12:30,1981,1986,1978,1979
2014-09-03 16:00,1979,1979,1953,1960
2014-09-03 17:00,1960,1972,1960,1966
2014-09-03 18:00,1966,1984,1965,1981
2014-09-04 11:00,1977,1982,1965,1975
2014-09-04 12:00,1975,1989,1971,1988
2014-09-04 12:30,1988,1996,1985,1994
2014-09-04 16:00,1994,2013,1985,2013
2014-09-04 17:00,2013,2018,2002,2016
2014-09-04 18:00,2016,2033,2010,2030
2014-09-05 11:00,2034,2041,2026,2038
2014-09-05 12:00,2037,2038,2008,2014
2014-09-05 12:30,2014,2033,2014,2031
2014-09-05 16:00,2033,2037,1997,2020
2014-09-05 17:00,2021,2028,2012,2023
2014-09-05 18:00,2023,2028,2017,2028
2014-09-08 11:00,2046,2052,2041,2048
2014-09-08 12:00,2048,2066,2048,2063
2014-09-08 12:30,2065,2068,2054,2055
2014-09-08 16:00,2055,2057,2037,2047
2014-09-08 17:00,2047,2051,2032,2034
2014-09-08 18:00,2034,2048,2027,2044
2014-09-09 11:00,2038,2046,2031,2041
2014-09-09 12:00,2040,2044,2027,2029
2014-09-09 12:30,2029,2035,2029,2030
2014-09-09 16:00,2030,2030,2006,2026
2014-09-09 17:00,2025,2030,2021,2023
2014-09-09 18:00,2024,2040,2017,2029
2014-09-10 11:00,2026,2026,1998,1998
2014-09-10 12:00,2000,2012,1998,2004
2014-09-10 12:30,2004,2016,2000,2014
2014-09-10 16:00,2013,2017,2005,2014
2014-09-10 17:00,2014,2026,2013,2020
2014-09-10 18:00,2020,2035,2018,2032
2014-09-11 11:00,2036,2040,2011,2011
2014-09-11 12:00,2012,2036,2008,2035
2014-09-11 12:30,2035,2049,2035,2046
2014-09-11 16:00,2046,2049,2036,2045
2014-09-11 17:00,2044,2054,2041,2044
2014-09-11 18:00,2044,2073,2042,2073
2014-09-12 11:00,2077,2081,2051,2062
2014-09-12 12:00,2062,2070,2061,2067
2014-09-12 12:30,2066,2083,2066,2076
2014-09-12 16:00,2077,2082,2063,2067
2014-09-12 17:00,2067,2079,2062,2077
2014-09-12 18:00,2077,2088,2074,2084
2014-09-15 11:00,2096,2112,2091,2106
2014-09-15 12:00,2106,2121,2102,2107
2014-09-15 12:30,2107,2110,2104,2110
2014-09-15 16:00,2110,2124,2101,2107
2014-09-15 17:00,2108,2111,2097,2108
2014-09-15 18:00,2107,2109,2091,2099
2014-09-17 11:00,2101,2112,2094,2106
2014-09-17 12:00,2105,2111,2097,2098
2014-09-17 12:30,2099,2104,2093,2102
2014-09-17 16:00,2103,2114,2095,2109
2014-09-17 17:00,2110,2119,2110,2113
2014-09-17 18:00,2115,2133,2113,2130
2014-09-18 11:00,2140,2166,2138,2159
2014-09-18 12:00,2159,2160,2152,2157
2014-09-18 12:30,2157,2164,2157,2164
2014-09-18 16:00,2161,2161,2134,2137
2014-09-18 17:00,2137,2151,2133,2150
2014-09-18 18:00,2150,2155,2142,2143
2014-09-19 11:00,2122,2128,2112,2115
2014-09-19 12:00,2116,2134,2114,2133
2014-09-19 12:30,2133,2135,2127,2131
2014-09-19 16:00,2129,2129,2118,2125
2014-09-19 17:00,2126,2129,2122,2123
2014-09-19 18:00,2123,2123,2106,2107
2014-09-22 11:00,2092,2092,2077,2077
2014-09-22 12:00,2077,2079,2071,2078
2014-09-22 12:30,2078,2080,2077,2078
2014-09-22 16:00,2078,2084,2068,2084
2014-09-22 17:00,2083,2090,2081,2085
2014-09-22 18:00,2086,2094,2083,2093
2014-09-23 11:00,2103,2111,2101,2110
2014-09-23 12:00,2112,2122,2111,2121
2014-09-23 12:30,2121,2125,2121,2125
2014-09-23 16:00,2116,2124,2100,2121
2014-09-23 17:00,2122,2133,2121,2130
2014-09-23 18:00,2130,2134,2123,2134
2014-09-24 11:00,2134,2142,2127,2141
2014-09-24 12:00,2141,2143,2127,2139
2014-09-24 12:30,2141,2141,2135,2138
2014-09-24 16:00,2137,2144,2136,2142
2014-09-24 17:00,2142,2154,2142,2153
2014-09-24 18:00,2153,2161,2151,2159
2014-09-25 11:00,2172,2184,2171,2176
2014-09-25 12:00,2177,2182,2176,2180
2014-09-25 12:30,2181,2181,2179,2180
2014-09-25 16:00,2182,2198,2181,2198
2014-09-25 17:00,2198,2199,2195,2198
2014-09-25 18:00,2199,2210,2196,2203
2014-09-26 11:00,2183,2191,2180,2190
2014-09-26 12:00,2190,2206,2187,2206
2014-09-26 12:30,2206,2206,2199,2200
2014-09-26 16:00,2202,2205,2190,2192
2014-09-26 17:00,2192,2192,2186,2190
2014-09-26 18:00,2191,2194,2181,2182
2014-09-29 11:00,2169,2178,2167,2176
2014-09-29 12:00,2177,2181,2175,2178
2014-09-29 12:30,2178,2179,2175,2177
2014-09-29 16:00,2176,2180,2172,2177
2014-09-29 17:00,2177,2191,2176,2191
2014-09-29 18:00,2191,2200,2190,2195
2014-09-30 11:00,2207,2228,2207,2220
2014-09-30 12:00,2220,2225,2215,2222
2014-09-30 12:30,2222,2227,2220,2223
2014-09-30 16:00,2224,2232,2219,2231
2014-09-30 17:00,2230,2232,2226,2230
2014-09-30 18:00,2229,2232,2227,2228
2014-10-01 11:00,2219,2219,2208,2211
2014-10-01 12:00,2214,2221,2208,2221
2014-10-01 12:30,2221,2226,2220,2226
2014-10-01 16:00,2226,2233,2216,2233
2014-10-01 17:00,2233,2234,2225,2226
2014-10-01 18:00,2225,2225,2204,2205
2014-10-02 11:00,2221,2226,2221,2226
