date,open,high,low,close
2013-06-03,3.1005,3.1025,3.0859,3.0932
2013-06-04,3.0946,3.098,3.08,3.0857
2013-06-05,3.0822,3.0952,3.0817,3.0817
2013-06-06,3.0834,3.0942,3.0744,3.094
2013-06-09,3.096,3.1322,3.0954,3.1272
2013-06-10,3.1295,3.1582,3.1295,3.146
2013-06-11,3.146,3.153,3.1302,3.1302
2013-06-12,3.1338,3.152,3.1334,3.1345
2013-06-13,3.132,3.1345,3.114,3.114
2013-06-16,3.1147,3.137,3.1147,3.132
2013-06-17,3.131,3.159,3.131,3.1545
2013-06-18,3.1537,3.1675,3.151,3.151
2013-06-19,3.1502,3.206,3.1502,3.1981
2013-06-20,3.1973,3.213,3.1973,3.203
2013-06-23,3.2022,3.2211,3.2022,3.2211
2013-06-24,3.22,3.2211,3.184,3.184
2013-06-25,3.1832,3.2035,3.1829,3.2027
2013-06-26,3.2035,3.2035,3.1737,3.1737
2013-06-27,3.1745,3.184,3.158,3.158
2013-06-30,3.158,3.176,3.158,3.164
2013-07-01,3.1632,3.172,3.1595,3.1675
2013-07-02,3.1675,3.1921,3.1675,3.185
2013-07-03,3.1842,3.188,3.1835,3.1835
2013-07-04,3.1827,3.188,3.1814,3.188
2013-07-07,3.1872,3.2125,3.1859,3.208
2013-07-08,3.1972,3.208,3.1854,3.186
2013-07-09,3.1852,3.189,3.1794,3.18
2013-07-10,3.1792,3.18,3.1554,3.1672
2013-07-11,3.168,3.177,3.1619,3.175
2013-07-14,3.175,3.19,3.175,3.1892
2013-07-15,3.19,3.19,3.1784,3.188
2013-07-16,3.1872,3.194,3.1814,3.191
2013-07-17,3.1902,3.201,3.1845,3.194
2013-07-18,3.1932,3.205,3.1925,3.1925
2013-07-21,3.1927,3.1935,3.1794,3.18
2013-07-22,3.179,3.18,3.1679,3.1775
2013-07-23,3.177,3.188,3.177,3.186
2013-07-24,3.186,3.1997,3.186,3.196
2013-07-25,3.196,3.2112,3.196,3.196
2013-07-28,3.196,3.2262,3.196,3.224
2013-07-29,3.224,3.2332,3.224,3.225
2013-07-30,3.233,3.2507,3.233,3.245
2013-07-31,3.245,3.245,3.2354,3.241
2013-08-01,3.241,3.2567,3.241,3.256
2013-08-04,3.256,3.256,3.23,3.23
2013-08-05,3.23,3.2462,3.2284,3.245
2013-08-06,3.245,3.2586,3.2426,3.253
2013-08-07,3.253,3.2576,3.2466,3.253
2013-08-08,3.253,3.2532,3.253,3.253
2013-08-11,3.253,3.253,3.2324,3.247
2013-08-12,3.247,3.26,3.247,3.257
2013-08-13,3.257,3.2755,3.257,3.2735
2013-08-14,3.2735,3.2787,3.263,3.2755
2013-08-15,3.2755,3.28,3.269,3.2748
2013-08-18,3.2748,3.286,3.2748,3.2845
2013-08-19,3.2845,3.3005,3.2845,3.287
2013-08-20,3.287,3.2962,3.2854,3.293
2013-08-21,3.295,3.3225,3.295,3.309
2013-08-22,3.309,3.311,3.298,3.3
2013-08-25,3.3002,3.308,3.289,3.3035
2013-08-26,3.3037,3.3302,3.3037,3.33
2013-08-27,3.33,3.3347,3.323,3.333
2013-08-28,3.333,3.333,3.31,3.31
2013-08-29,3.307,3.31,3.285,3.285
2013-09-01,3.285,3.2987,3.271,3.271
2013-09-02,3.271,3.2862,3.2624,3.2848
2013-09-03,3.2848,3.3052,3.281,3.281
2013-09-04,3.281,3.3068,3.2805,3.2805
2013-09-05,3.3032,3.3305,3.302,3.3272
2013-09-08,3.329,3.329,3.2912,3.2912
2013-09-09,3.2915,3.2915,3.2675,3.277
2013-09-10,3.2752,3.2808,3.2608,3.2634
2013-09-11,3.2582,3.284,3.253,3.2763
2013-09-12,3.2773,3.299,3.272,3.2882
2013-09-15,3.288,3.2882,3.288,3.2882
2013-09-16,3.288,3.2882,3.2455,3.2455
2013-09-17,3.2455,3.2455,3.232,3.232
2013-09-18,3.232,3.2322,3.1457,3.1457
2013-09-19,3.146,3.1672,3.146,3.164
2013-09-22,3.164,3.1992,3.164,3.199
2013-09-23,3.1992,3.2172,3.198,3.2152
2013-09-24,3.215,3.2342,3.215,3.221
2013-09-25,3.221,3.2237,3.213,3.2147
2013-09-26,3.2145,3.2265,3.214,3.226
2013-09-29,3.226,3.2702,3.226,3.252
2013-09-30,3.256,3.258,3.2322,3.2322
2013-10-01,3.231,3.2387,3.2257,3.2257
2013-10-02,3.2255,3.2255,3.1927,3.1927
2013-10-03,3.1925,3.1992,3.1775,3.18
2013-10-06,3.1798,3.19,3.174,3.188
2013-10-07,3.188,3.199,3.188,3.195
2013-10-08,3.195,3.21,3.194,3.1945
2013-10-09,3.1945,3.208,3.19,3.19
2013-10-10,3.19,3.19,3.177,3.177
2013-10-13,3.1785,3.1847,3.177,3.1802
2013-10-14,3.18,3.1802,3.163,3.18
2013-10-15,3.18,3.18,3.1692,3.1712
2013-10-16,3.171,3.1712,3.1472,3.1472
2013-10-17,3.147,3.1572,3.145,3.157
2013-10-20,3.1572,3.1745,3.1572,3.167
2013-10-21,3.167,3.1835,3.167,3.173
2013-10-22,3.173,3.173,3.1485,3.163
2013-10-23,3.16,3.164,3.1505,3.158
2013-10-24,3.158,3.158,3.1425,3.1425
2013-10-27,3.1425,3.1425,3.1337,3.1337
2013-10-28,3.1355,3.1457,3.1355,3.1457
2013-10-29,3.1453,3.1575,3.1453,3.147
2013-10-30,3.147,3.1585,3.147,3.155
2013-10-31,3.155,3.184,3.155,3.17
2013-11-03,3.17,3.181,3.17,3.1715
2013-11-04,3.1715,3.1717,3.1715,3.1715
2013-11-05,3.1715,3.1852,3.1715,3.1795
2013-11-06,3.1775,3.183,3.1775,3.183
2013-11-07,3.183,3.183,3.1775,3.1775
2013-11-10,3.1775,3.2005,3.1775,3.195
2013-11-11,3.195,3.2155,3.195,3.21
2013-11-12,3.21,3.21,3.2063,3.21
2013-11-13,3.21,3.2105,3.1895,3.2028
2013-11-14,3.2028,3.203,3.1975,3.203
2013-11-17,3.203,3.2032,3.1845,3.1845
2013-11-18,3.1845,3.1957,3.1772,3.1772
2013-11-19,3.177,3.1847,3.1729,3.18
2013-11-20,3.179,3.2102,3.179,3.2045
2013-11-21,3.2047,3.2167,3.2047,3.212
2013-11-24,3.212,3.2257,3.212,3.2172
2013-11-25,3.217,3.2237,3.217,3.2192
2013-11-26,3.219,3.2302,3.219,3.229
2013-11-27,3.229,3.238,3.229,3.2315
2013-11-28,3.2317,3.238,3.223,3.223
2013-12-01,3.2232,3.2282,3.208,3.208
2013-12-02,3.208,3.22,3.208,3.2165
2013-12-03,3.2165,3.2252,3.2145,3.225
2013-12-04,3.225,3.23,3.2244,3.2275
2013-12-05,3.2275,3.2335,3.2245,3.232
2013-12-08,3.232,3.2322,3.2072,3.2072
2013-12-09,3.207,3.2082,3.204,3.2065
2013-12-10,3.2065,3.2177,3.2024,3.2142
2013-12-11,3.214,3.2292,3.214,3.229
2013-12-12,3.2292,3.2375,3.2292,3.2322
2013-12-15,3.232,3.2394,3.232,3.2392
2013-12-16,3.2394,3.2478,3.2359,3.247
2013-12-17,3.247,3.2585,3.247,3.257
2013-12-18,3.257,3.2787,3.257,3.272
2013-12-19,3.273,3.286,3.273,3.2855
2013-12-22,3.286,3.2948,3.286,3.29
2013-12-23,3.29,3.2942,3.29,3.292
2013-12-24,3.292,3.2935,3.292,3.292
2013-12-25,3.2955,3.2975,3.295,3.2975
2013-12-26,3.2962,3.2975,3.2873,3.288
2013-12-29,3.2877,3.2955,3.2877,3.2945
2013-12-30,3.2932,3.2945,3.2762,3.2772
2013-12-31,3.2757,3.28,3.2757,3.277
2014-01-01,3.2772,3.2875,3.2772,3.285
2014-01-02,3.285,3.295,3.285,3.285
2014-01-05,3.285,3.2905,3.2835,3.2835
2014-01-06,3.2845,3.2909,3.283,3.2843
2014-01-07,3.283,3.2885,3.271,3.271
2014-01-08,3.271,3.2817,3.271,3.275
2014-01-09,3.276,3.2769,3.265,3.268
2014-01-12,3.268,3.268,3.2524,3.2639
2014-01-13,3.26,3.2691,3.26,3.26
2014-01-14,3.26,3.286,3.26,3.286
2014-01-15,3.286,3.2977,3.286,3.2977
2014-01-16,3.2977,3.2977,3.2957,3.296
2014-01-19,3.2959,3.3175,3.2959,3.3152
2014-01-20,3.3152,3.334,3.3144,3.3232
2014-01-21,3.3232,3.3335,3.3232,3.3238
2014-01-22,3.322,3.3361,3.322,3.3292
2014-01-23,3.3315,3.335,3.3303,3.3332
2014-01-26,3.3334,3.349,3.3334,3.3435
2014-01-27,3.3435,3.3435,3.334,3.334
2014-01-28,3.334,3.3367,3.3205,3.3365
2014-01-29,3.3365,3.3476,3.3365,3.345
2014-01-30,3.345,3.3465,3.3437,3.345
2014-02-02,3.345,3.3465,3.345,3.345
2014-02-03,3.345,3.345,3.3235,3.3235
2014-02-04,3.3237,3.3285,3.3127,3.3127
2014-02-05,3.3125,3.3257,3.3109,3.3217
2014-02-06,3.3215,3.3295,3.32,3.329
2014-02-09,3.329,3.34,3.3265,3.335
2014-02-10,3.335,3.343,3.3267,3.3267
2014-02-11,3.3328,3.3328,3.3214,3.3225
2014-02-12,3.3212,3.3266,3.3205,3.3237
2014-02-13,3.3225,3.3237,3.306,3.3067
2014-02-16,3.3065,3.3065,3.2873,3.293
2014-02-17,3.293,3.3035,3.2928,3.301
2014-02-18,3.3035,3.306,3.293,3.293
2014-02-19,3.2947,3.3095,3.2947,3.3095
2014-02-20,3.306,3.3095,3.2924,3.293
2014-02-23,3.2954,3.3013,3.2815,3.2815
2014-02-24,3.2815,3.2932,3.2755,3.282
2014-02-25,3.282,3.282,3.268,3.268
2014-02-26,3.268,3.2822,3.268,3.2822
2014-02-27,3.2801,3.2822,3.276,3.276
2014-03-02,3.276,3.2871,3.276,3.2819
2014-03-03,3.2812,3.2855,3.2728,3.2772
2014-03-04,3.275,3.2772,3.2695,3.2695
2014-03-05,3.2695,3.2702,3.26,3.26
2014-03-06,3.257,3.2607,3.2534,3.257
2014-03-09,3.2567,3.2845,3.2567,3.2805
2014-03-10,3.2805,3.2822,3.278,3.28
2014-03-11,3.28,3.2885,3.2784,3.287
2014-03-12,3.287,3.287,3.272,3.278
2014-03-13,3.278,3.2852,3.278,3.278
2014-03-16,3.2782,3.2827,3.2759,3.2783
2014-03-17,3.2755,3.2783,3.268,3.2742
2014-03-18,3.274,3.2829,3.2735,3.2782
2014-03-19,3.2762,3.2985,3.2762,3.2952
2014-03-20,3.2985,3.311,3.298,3.307
2014-03-23,3.3085,3.3085,3.299,3.299
2014-03-24,3.299,3.306,3.292,3.3054
2014-03-25,3.3017,3.3054,3.2985,3.2991
2014-03-26,3.2962,3.2991,3.2885,3.2885
2014-03-27,3.2885,3.2885,3.271,3.271
2014-03-30,3.2712,3.276,3.2635,3.2645
2014-03-31,3.2632,3.2645,3.259,3.2616
2014-04-01,3.262,3.2709,3.262,3.269
2014-04-02,3.269,3.2852,3.269,3.2812
2014-04-03,3.2839,3.286,3.2793,3.2802
2014-04-06,3.2787,3.2837,3.2644,3.2707
2014-04-07,3.2712,3.2712,3.2396,3.24
2014-04-08,3.2387,3.24,3.2259,3.2262
2014-04-09,3.2275,3.2335,3.2166,3.222
2014-04-10,3.2222,3.2403,3.2222,3.2352
2014-04-13,3.237,3.251,3.237,3.2495
2014-04-14,3.2497,3.2585,3.2375,3.2412
2014-04-15,3.244,3.252,3.2385,3.2417
2014-04-16,3.2412,3.2433,3.2346,3.237
2014-04-17,3.237,3.2402,3.237,3.239
2014-04-20,3.237,3.2515,3.237,3.25
2014-04-21,3.25,3.2661,3.25,3.264
2014-04-22,3.264,3.2701,3.264,3.2645
2014-04-23,3.2645,3.2677,3.2644,3.2675
2014-04-24,3.2675,3.2747,3.267,3.267
2014-04-27,3.267,3.271,3.2645,3.2645
2014-04-28,3.2645,3.2692,3.259,3.259
2014-04-29,3.2577,3.2685,3.2577,3.2612
2014-04-30,3.2655,3.2655,3.2612,3.2612
2014-05-01,3.2625,3.2685,3.2583,3.2657
2014-05-04,3.2657,3.266,3.2517,3.2517
2014-05-05,3.2555,3.259,3.2505,3.2505
2014-05-06,3.2505,3.2508,3.2422,3.25
2014-05-07,3.2502,3.2535,3.233,3.233
2014-05-08,3.233,3.233,3.2232,3.2277
