date,open,high,low,close
2013-01-23,52.37,52.61,51.93,52.03
2013-01-24,52.04,52.2,51.5,52.11
2013-01-25,52.18,52.37,51.81,52.1
2013-01-28,52.3,52.36,51.72,51.89
2013-01-29,51.88,52.25,51.66,51.71
2013-01-30,51.75,52.71,51.6,52.6
2013-01-31,52.55,52.96,52.08,52.86
2013-02-01,52.9,53.57,52.64,52.99
2013-02-04,53.23,53.54,53.06,53.11
2013-02-05,53.05,53.22,52.68,52.98
2013-02-06,52.99,52.99,52.4,52.45
2013-02-07,52.5,52.59,51.8,51.85
2013-02-08,51.9,52.19,50.94,51.43
2013-02-11,51.4,51.43,50.77,51.24
2013-02-12,51.25,51.47,50.87,51.1
2013-02-13,51.1,51.79,50.56,51.66
2013-02-14,51.66,51.78,51.13,51.7
2013-02-15,51.61,51.98,51.44,51.62
2013-02-19,51.64,52.64,51.63,52.53
2013-02-20,52.92,53.13,52.33,52.4
2013-02-21,52.35,52.35,51.53,51.68
2013-02-22,51.7,52.17,50.67,50.73
2013-02-25,50.73,50.75,49.75,50.44
2013-02-26,50.27,50.5,49.31,49.39
2013-02-27,49.47,49.9,49.27,49.67
2013-02-28,49.69,49.87,49.07,49.12
2013-03-01,49.2,49.75,48.67,49.67
2013-03-04,49.52,50.33,49.48,50.26
2013-03-05,50.31,50.75,50.03,50.13
2013-03-06,50.13,50.4,49.97,50.26
2013-03-07,50.24,50.78,49.85,50.61
2013-03-08,50.61,50.76,49.93,50.34
2013-03-11,50.48,50.68,50.16,50.44
2013-03-12,50.44,50.49,49.86,49.98
2013-03-13,50.0,50.06,49.23,49.52
2013-03-14,49.48,49.72,49.03,49.34
2013-03-15,49.52,50.19,49.34,49.91
2013-03-18,49.89,49.94,49.22,49.68
2013-03-19,49.65,49.95,49.35,49.48
2013-03-20,49.47,50.1,49.47,49.84
2013-03-21,49.82,50.46,49.82,50.42
2013-03-22,50.39,50.61,50.0,50.43
2013-03-25,50.43,50.51,50.21,50.44
2013-03-26,50.44,50.92,50.22,50.82
2013-03-27,50.76,51.03,50.6,50.82
2013-03-28,50.88,50.95,49.52,50.11
2013-04-01,49.81,50.5,49.32,50.06
2013-04-02,50.06,50.28,49.45,49.59
2013-04-03,49.7,49.82,49.13,49.15
2013-04-04,49.15,49.25,48.25,48.55
2013-04-05,48.57,48.89,48.3,48.83
2013-04-08,48.83,49.65,48.69,49.52
2013-04-09,49.52,50.05,49.37,49.98
2013-04-10,49.98,50.23,49.61,50.03
2013-04-11,50.03,50.15,49.67,49.77
2013-04-12,49.75,50.0,49.0,49.23
2013-04-15,49.15,49.34,48.09,48.18
2013-04-16,48.21,49.11,48.0,48.98
2013-04-17,49.01,49.71,48.56,49.39
2013-04-18,49.3,50.08,49.1,49.66
2013-04-19,49.66,49.89,48.96,49.16
2013-04-22,49.03,49.18,48.32,48.59
2013-04-23,48.66,48.75,48.08,48.41
2013-04-24,48.41,48.93,48.23,48.9
2013-04-25,48.9,49.5,48.85,49.48
2013-04-26,49.48,50.23,49.1,49.54
2013-04-29,49.49,49.89,49.05,49.51
2013-04-30,49.51,49.69,48.97,49.22
2013-05-01,49.22,49.25,48.3,48.85
2013-05-02,48.85,49.07,48.34,48.49
2013-05-03,48.49,49.35,48.44,49.27
2013-05-06,49.16,49.73,48.61,48.76
2013-05-07,48.76,49.2,48.59,49.14
2013-05-08,49.22,49.5,48.74,48.82
2013-05-09,48.79,49.45,48.76,49.22
2013-05-10,49.09,49.51,48.6,49.23
2013-05-13,49.05,49.87,48.95,49.61
2013-05-14,49.55,49.83,49.31,49.76
2013-05-15,49.74,50.0,49.15,49.35
2013-05-16,49.35,49.8,49.17,49.52
2013-05-17,49.55,49.9,49.31,49.52
2013-05-20,49.41,49.76,48.86,49.2
2013-05-21,49.1,49.7,48.95,49.48
2013-05-22,49.48,49.74,49.39,49.64
2013-05-23,49.59,50.61,49.26,49.66
2013-05-24,49.66,49.91,49.17,49.24
2013-05-28,49.25,49.95,49.25,49.54
2013-05-29,49.54,49.89,48.56,48.63
2013-05-30,48.74,48.78,48.24,48.58
2013-05-31,48.6,48.88,48.29,48.38
2013-06-03,48.3,48.72,48.25,48.66
2013-06-04,48.61,48.68,48.16,48.59
2013-06-05,48.63,48.8,48.26,48.3
2013-06-06,48.3,48.49,47.7,48.16
2013-06-07,48.07,48.69,47.95,48.53
2013-06-10,48.45,48.58,47.96,48.07
2013-06-11,48.13,48.34,47.96,48.04
2013-06-12,48.13,48.3,48.02,48.11
2013-06-13,48.11,48.3,47.7,47.84
2013-06-14,47.93,48.5,47.8,48.48
2013-06-17,48.33,48.94,48.1,48.84
2013-06-18,48.84,49.0,48.71,48.81
2013-06-19,47.54,48.36,47.48,48.2
2013-06-20,48.2,48.33,47.17,47.22
2013-06-21,47.22,47.3,46.6,46.66
2013-06-24,46.42,46.64,45.79,46.26
2013-06-25,46.29,46.49,45.82,45.95
2013-06-26,45.95,46.11,45.4,45.46
2013-06-27,45.46,45.7,45.03,45.19
2013-06-28,45.19,45.51,44.6,45.12
2013-07-01,45.08,45.71,44.91,45.68
2013-07-02,45.73,45.96,45.26,45.62
2013-07-03,45.59,46.07,45.55,45.95
2013-07-05,45.9,46.38,45.58,46.04
2013-07-08,45.94,46.26,45.59,45.89
2013-07-09,45.9,46.24,45.47,45.97
2013-07-10,46.0,46.25,45.76,46.13
2013-07-11,46.13,46.53,45.65,45.7
2013-07-12,45.7,45.99,45.37,45.75
2013-07-15,45.48,45.74,45.14,45.28
2013-07-16,45.41,45.68,45.21,45.28
2013-07-17,45.35,45.72,45.2,45.51
2013-07-18,45.53,45.7,45.1,45.39
2013-07-19,45.51,45.59,45.19,45.32
2013-07-22,45.3,45.68,45.15,45.31
2013-07-23,45.3,45.55,44.61,44.68
2013-07-24,44.7,44.95,43.89,44.11
2013-07-25,44.1,44.33,43.51,43.85
2013-07-26,43.81,43.99,43.35,43.73
2013-07-29,43.73,43.77,42.68,42.82
2013-07-30,42.96,43.2,42.62,42.69
2013-07-31,42.74,43.14,42.59,42.7
2013-08-01,42.71,43.29,42.64,42.92
2013-08-02,43.04,43.25,42.49,42.82
2013-08-05,42.65,43.29,42.46,43.21
2013-08-06,43.2,43.31,42.4,42.59
2013-08-07,42.59,42.82,42.06,42.1
2013-08-08,42.11,42.39,42.04,42.1
2013-08-09,42.11,42.43,41.85,41.88
2013-08-12,41.97,42.85,41.93,42.75
2013-08-13,42.74,43.29,42.6,42.95
2013-08-14,43.02,43.1,42.54,42.63
2013-08-15,42.69,43.55,42.69,43.45
2013-08-16,43.48,43.94,43.1,43.16
2013-08-19,43.69,43.98,43.36,43.78
2013-08-20,43.68,43.82,43.0,43.18
2013-08-21,43.05,43.7,43.05,43.17
2013-08-22,43.18,43.41,42.67,42.76
2013-08-23,42.77,43.37,42.75,43.0
2013-08-26,43.1,45.32,43.05,44.88
2013-08-27,44.93,45.17,44.42,44.52
2013-08-28,44.52,44.91,44.36,44.78
2013-08-29,44.81,44.9,43.78,44.2
2013-08-30,44.36,44.37,43.68,44.29
2013-09-03,44.67,45.1,43.82,44.19
2013-09-04,44.26,44.26,43.65,43.93
2013-09-05,44.1,44.1,43.38,43.53
2013-09-06,43.54,44.46,43.5,43.72
2013-09-09,44.04,44.13,43.11,43.17
2013-09-10,43.08,43.55,42.79,43.07
2013-09-11,43.06,43.35,42.91,42.96
2013-09-12,43.05,43.3,42.6,43.03
2013-09-13,43.06,43.29,42.41,42.56
2013-09-16,42.24,42.68,42.11,42.37
2013-09-17,42.43,42.7,42.05,42.24
2013-09-18,42.24,42.8,42.03,42.71
2013-09-19,42.92,43.09,42.44,42.96
2013-09-20,42.98,42.98,42.25,42.34
2013-09-23,42.36,42.38,41.96,42.24
2013-09-24,42.27,42.5,42.06,42.09
2013-09-25,42.09,42.4,41.91,42.09
2013-09-26,42.04,42.18,41.7,42.05
2013-09-27,42.01,42.34,41.76,41.81
2013-09-30,41.75,41.8,40.95,41.1
2013-10-01,41.12,41.2,40.19,40.27
